"Time","Potential"
1.400,0.006
1.402,0.009
1.404,0.009
1.406,0.006
1.408,0.006
1.410,0.015
1.412,0.006
1.414,0.006
1.416,0.006
1.418,0.009
1.420,0.015
1.422,0.006
1.424,0.006
1.426,0.015
1.428,0.015
1.430,-0.006
1.432,0.006
1.434,0.012
1.436,0.015
1.438,0.015
1.440,0.009
1.442,0.006
1.444,0.006
1.446,0.006
1.448,0.006
1.450,0.012
1.452,0.015
1.454,-0.006
1.456,0.009
1.458,0.009
1.460,0.012
1.462,0.015
1.464,0.015
1.466,0.015
1.468,0.015
1.470,0.009
1.472,0.006
1.474,0.009
1.476,0.015
1.478,0.015
1.480,0.009
1.482,0.009
1.484,0.006
1.486,0.006
1.488,0.009
1.490,0.006
1.492,0.015
1.494,0.006
1.496,-0.006
1.498,0.009
1.500,0.015
1.502,0.015
1.504,0.015
1.506,0.012
1.508,0.012
1.510,0.009
1.512,0.009
1.514,0.009
1.516,0.015
1.518,0.015
1.520,-0.006
1.522,0.006
1.524,0.006
1.526,0.009
1.528,0.006
1.530,0.006
1.532,0.012
1.534,0.009
1.536,0.006
1.538,0.012
1.540,0.012
1.542,0.015
1.544,0.012
1.546,0.012
1.548,0.015
1.550,0.015
1.552,0.009
1.554,0.006
1.556,0.009
1.558,0.015
1.560,0.009
1.562,0.012
1.564,0.009
1.566,-0.006
1.568,-0.006
1.570,0.009
1.572,0.012
1.574,0.012
1.576,0.006
1.578,0.006
1.580,0.009
1.582,0.015
1.584,0.015
1.586,0.015
1.588,0.012
1.590,0.015
1.592,0.006
1.594,0.006
1.596,0.009
1.598,0.012
1.600,0.009
1.602,-0.006
1.604,0.003
1.606,0.006
1.608,0.006
1.610,0.009
1.612,0.015
1.614,0.015
1.616,0.015
1.618,0.006
1.620,0.009
1.622,0.015
1.624,0.015
1.626,0.012
1.628,0.009
1.630,0.015
1.632,-0.006
1.634,0.009
1.636,0.006
1.638,0.015
1.640,0.018
1.642,0.006
1.644,0.006
1.646,0.006
1.648,0.009
1.650,0.009
1.652,0.012
1.654,0.015
1.656,0.018
1.658,0.009
1.660,0.009
1.662,0.012
1.664,0.015
1.666,0.009
1.668,0.006
1.670,0.015
1.672,0.009
1.674,0.009
1.676,0.006
1.678,0.009
1.680,0.018
1.682,0.006
1.684,0.006
1.686,0.018
1.688,0.018
1.690,0.006
1.692,0.009
1.694,0.015
1.696,0.018
1.698,0.015
1.700,0.009
1.702,0.009
1.704,0.009
1.706,0.006
1.708,0.006
1.710,0.015
1.712,0.009
1.714,0.003
1.716,0.009
1.718,0.009
1.720,0.018
1.722,0.018
1.724,0.015
1.726,0.018
1.728,0.018
1.730,0.006
1.732,0.009
1.734,0.015
1.736,0.015
1.738,0.018
1.740,0.015
1.742,0.009
1.744,0.006
1.746,0.006
1.748,0.012
1.750,0.012
1.752,0.018
1.754,0.006
1.756,0.009
1.758,0.012
1.760,0.018
1.762,0.018
1.764,0.021
1.766,0.018
1.768,0.018
1.770,0.012
1.772,0.012
1.774,0.015
1.776,0.015
1.778,0.018
1.780,0.006
1.782,0.012
1.784,0.012
1.786,0.015
1.788,0.015
1.790,0.015
1.792,0.018
1.794,0.009
1.796,0.006
1.798,0.015
1.800,0.018
1.802,0.018
1.804,0.018
1.806,0.018
1.808,0.018
1.810,0.018
1.812,0.012
1.814,0.009
1.816,0.012
1.818,0.018
1.820,0.012
1.822,0.015
1.824,0.015
1.826,0.006
1.828,-0.006
1.830,0.009
1.832,0.018
1.834,0.015
1.836,0.009
1.838,0.009
1.840,0.015
1.842,0.018
1.844,0.018
1.846,0.015
1.848,0.018
1.850,0.018
1.852,0.012
1.854,0.009
1.856,0.015
1.858,0.018
1.860,0.012
1.862,0.006
1.864,0.009
1.866,0.012
1.868,0.012
1.870,0.015
1.872,0.018
1.874,0.018
1.876,0.018
1.878,0.009
1.880,0.015
1.882,0.018
1.884,0.018
1.886,0.015
1.888,0.015
1.890,0.018
1.892,0.006
1.894,0.012
1.896,0.009
1.898,0.015
1.900,0.018
1.902,0.012
1.904,0.006
1.906,0.009
1.908,0.018
1.910,0.015
1.912,0.018
1.914,0.018
1.916,0.018
1.918,0.012
1.920,0.015
1.922,0.015
1.924,0.015
1.926,0.009
1.928,0.012
1.930,0.018
1.932,0.009
1.934,0.012
1.936,0.012
1.938,0.015
1.940,0.018
1.942,0.015
1.944,0.009
1.946,0.021
1.948,0.018
1.950,0.009
1.952,0.015
1.954,0.018
1.956,0.018
1.958,0.024
1.960,0.018
1.962,0.015
1.964,0.015
1.966,0.015
1.968,0.015
1.970,0.018
1.972,0.018
1.974,0.006
1.976,0.015
1.978,0.012
1.980,0.021
1.982,0.021
1.984,0.021
1.986,0.018
1.988,0.018
1.990,0.015
1.992,0.015
1.994,0.018
1.996,0.021
1.998,0.021
2.000,0.015
2.002,0.012
2.004,0.012
2.006,0.015
2.008,0.015
2.010,0.015
2.012,0.018
2.014,0.015
2.016,0.009
2.018,0.015
2.020,0.018
2.022,0.018
2.024,0.018
2.026,0.021
2.028,0.018
2.030,0.015
2.032,0.015
2.034,0.015
2.036,0.018
2.038,0.021
2.040,0.006
2.042,0.018
2.044,0.015
2.046,0.015
2.048,0.015
2.050,0.015
2.052,0.021
2.054,0.021
2.056,0.015
2.058,0.018
2.060,0.018
2.062,0.018
2.064,0.018
2.066,0.018
2.068,0.021
2.070,0.024
2.072,0.018
2.074,0.018
2.076,0.018
2.078,0.021
2.080,0.015
2.082,0.015
2.084,0.015
2.086,-0.006
2.088,0.006
2.090,0.015
2.092,0.021
2.094,0.021
2.096,0.015
2.098,0.012
2.100,0.018
2.102,0.021
2.104,0.021
2.106,0.021
2.108,0.018
2.110,0.024
2.112,0.015
2.114,0.018
2.116,0.015
2.118,0.018
2.120,0.021
2.122,0.006
2.124,-0.006
2.126,0.018
2.128,0.018
2.130,0.021
2.132,0.021
2.134,0.021
2.136,0.024
2.138,0.018
2.140,0.018
2.142,0.021
2.144,0.021
2.146,0.018
2.148,0.018
2.150,0.021
2.152,0.015
2.154,0.018
2.156,0.018
2.158,0.021
2.160,0.024
2.162,0.018
2.164,0.018
2.166,0.021
2.168,0.024
2.170,0.018
2.172,0.021
2.174,0.024
2.176,0.027
2.178,0.021
2.180,0.018
2.182,0.021
2.184,0.018
2.186,0.015
2.188,0.018
2.190,0.024
2.192,0.018
2.194,0.018
2.196,0.021
2.198,0.018
2.200,0.024
2.202,0.021
2.204,0.021
2.206,0.024
2.208,0.027
2.210,0.012
2.212,0.018
2.214,0.024
2.216,0.027
2.218,0.027
2.220,0.021
2.222,0.018
2.224,0.018
2.226,0.018
2.228,0.018
2.230,0.024
2.232,0.024
2.234,0.015
2.236,0.018
2.238,0.018
2.240,0.024
2.242,0.024
2.244,0.024
2.246,0.024
2.248,0.024
2.250,0.018
2.252,0.018
2.254,0.021
2.256,0.021
2.258,0.027
2.260,0.015
2.262,0.018
2.264,0.015
2.266,0.021
2.268,0.021
2.270,0.021
2.272,0.024
2.274,0.018
2.276,0.015
2.278,0.021
2.280,0.024
2.282,0.027
2.284,0.024
2.286,0.024
2.288,0.021
2.290,0.024
2.292,0.018
2.294,0.018
2.296,0.024
2.298,0.024
2.300,0.018
2.302,0.021
2.304,0.021
2.306,0.015
2.308,0.015
2.310,0.018
2.312,0.021
2.314,0.024
2.316,0.018
2.318,0.018
2.320,0.021
2.322,0.024
2.324,0.024
2.326,0.021
2.328,0.021
2.330,0.024
2.332,0.018
2.334,0.018
2.336,0.018
2.338,0.024
2.340,0.015
2.342,0.015
2.344,0.015
2.346,0.018
2.348,0.018
2.350,0.021
2.352,0.024
2.354,0.024
2.356,0.024
2.358,0.012
2.360,0.021
2.362,0.021
2.364,0.024
2.366,0.024
2.368,0.021
2.370,0.027
2.372,0.015
2.374,0.018
2.376,0.018
2.378,0.024
2.380,0.027
2.382,0.018
2.384,0.018
2.386,0.021
2.388,0.021
2.390,0.024
2.392,0.024
2.394,0.024
2.396,0.030
2.398,0.018
2.400,0.018
2.402,0.021
2.404,0.021
2.406,0.021
2.408,0.018
2.410,0.024
2.412,0.018
2.414,0.018
2.416,0.018
2.418,0.021
2.420,0.027
2.422,0.018
2.424,0.021
2.426,0.027
2.428,0.027
2.430,0.018
2.432,0.021
2.434,0.024
2.436,0.027
2.438,0.024
2.440,0.021
2.442,0.021
2.444,0.018
2.446,0.018
2.448,0.018
2.450,0.024
2.452,0.021
2.454,0.015
2.456,0.021
2.458,0.021
2.460,0.027
2.462,0.027
2.464,0.030
2.466,0.027
2.468,0.030
2.470,0.015
2.472,0.018
2.474,0.024
2.476,0.030
2.478,0.027
2.480,0.024
2.482,0.018
2.484,0.021
2.486,0.018
2.488,0.021
2.490,0.024
2.492,0.030
2.494,0.018
2.496,0.021
2.498,0.024
2.500,0.030
2.502,0.030
2.504,0.030
2.506,0.030
2.508,0.030
2.510,0.024
2.512,0.021
2.514,0.024
2.516,0.027
2.518,0.033
2.520,0.018
2.522,0.021
2.524,0.024
2.526,0.024
2.528,0.027
2.530,0.024
2.532,0.033
2.534,0.021
2.536,0.015
2.538,0.021
2.540,0.030
2.542,0.030
2.544,0.030
2.546,0.030
2.548,0.030
2.550,0.027
2.552,0.021
2.554,0.024
2.556,0.027
2.558,0.030
2.560,0.018
2.562,0.024
2.564,0.024
2.566,0.021
2.568,0.018
2.570,0.024
2.572,0.030
2.574,0.030
2.576,0.027
2.578,0.027
2.580,0.027
2.582,0.030
2.584,0.030
2.586,0.030
2.588,0.033
2.590,0.033
2.592,0.027
2.594,0.024
2.596,0.027
2.598,0.033
2.600,0.024
2.602,0.024
2.604,0.021
2.606,0.018
2.608,0.024
2.610,0.027
2.612,0.033
2.614,0.033
2.616,0.027
2.618,0.021
2.620,0.027
2.622,0.033
2.624,0.033
2.626,0.030
2.628,0.030
2.630,0.033
2.632,0.021
2.634,0.024
2.636,0.027
2.638,0.033
2.640,0.033
2.642,0.018
2.644,0.018
2.646,0.024
2.648,0.024
2.650,0.030
2.652,0.033
2.654,0.033
2.656,0.033
2.658,0.030
2.660,0.030
2.662,0.033
2.664,0.033
2.666,0.030
2.668,0.027
2.670,0.033
2.672,0.024
2.674,0.030
2.676,0.027
2.678,0.033
2.680,0.033
2.682,0.024
2.684,0.027
2.686,0.033
2.688,0.036
2.690,0.030
2.692,0.033
2.694,0.033
2.696,0.036
2.698,0.033
2.700,0.030
2.702,0.033
2.704,0.033
2.706,0.027
2.708,0.030
2.710,0.033
2.712,0.027
2.714,0.027
2.716,0.030
2.718,0.033
2.720,0.039
2.722,0.039
2.724,0.039
2.726,0.036
2.728,0.039
2.730,0.027
2.732,0.033
2.734,0.039
2.736,0.039
2.738,0.039
2.740,0.033
2.742,0.033
2.744,0.030
2.746,0.030
2.748,0.033
2.750,0.039
2.752,0.039
2.754,0.030
2.756,0.033
2.758,0.033
2.760,0.039
2.762,0.042
2.764,0.042
2.766,0.039
2.768,0.042
2.770,0.036
2.772,0.033
2.774,0.039
2.776,0.042
2.778,0.042
2.780,0.033
2.782,0.033
2.784,0.033
2.786,0.033
2.788,0.036
2.790,0.036
2.792,0.042
2.794,0.033
2.796,0.027
2.798,0.036
2.800,0.039
2.802,0.042
2.804,0.042
2.806,0.042
2.808,0.039
2.810,0.033
2.812,0.033
2.814,0.033
2.816,0.039
2.818,0.042
2.820,0.030
2.822,0.033
2.824,0.036
2.826,0.030
2.828,0.030
2.830,0.033
