"Time","Potential"
1.544,1.461
1.546,1.455
1.548,1.452
1.550,1.452
1.552,1.458
1.554,1.461
1.556,1.455
1.558,1.461
1.560,1.455
1.562,1.458
1.564,1.464
1.566,1.464
1.568,1.449
1.570,1.455
1.572,1.452
1.574,1.452
1.576,1.452
1.578,1.452
1.580,1.446
1.582,1.440
1.584,1.446
1.586,1.452
1.588,1.452
1.590,1.452
1.592,1.452
1.594,1.449
1.596,1.446
1.598,1.446
1.600,1.440
1.602,1.440
1.604,1.425
1.606,1.431
1.608,1.437
1.610,1.437
1.612,1.440
1.614,1.446
1.616,1.440
1.618,1.434
1.620,1.434
1.622,1.437
1.624,1.437
1.626,1.422
1.628,1.428
1.630,1.428
1.632,1.428
1.634,1.437
1.636,1.440
1.638,1.425
1.640,1.434
1.642,1.434
1.644,1.437
1.646,1.437
1.648,1.428
1.650,1.425
1.652,1.418
1.654,1.425
1.656,1.428
1.658,1.431
1.660,1.431
1.662,1.428
1.664,1.431
1.666,1.431
1.668,1.431
1.670,1.431
1.672,1.431
1.674,1.422
1.676,1.422
1.678,1.425
1.680,1.428
1.682,1.428
1.684,1.428
1.686,1.428
1.688,1.425
1.690,1.428
1.692,1.428
1.694,1.431
1.696,1.418
1.698,1.425
1.700,1.422
1.702,1.425
1.704,1.428
1.706,1.422
1.708,1.415
1.710,1.425
1.712,1.422
1.714,1.425
1.716,1.428
1.718,1.422
1.720,1.418
1.722,1.418
1.724,1.422
1.726,1.428
1.728,1.428
1.730,1.428
1.732,1.422
1.734,1.428
1.736,1.425
1.738,1.425
1.740,1.428
1.742,1.428
1.744,1.418
1.746,1.425
1.748,1.431
1.750,1.431
1.752,1.431
1.754,1.434
1.756,1.428
1.758,1.425
1.760,1.428
1.762,1.431
1.764,1.437
1.766,1.425
1.768,1.428
1.770,1.428
1.772,1.428
1.774,1.437
1.776,1.431
1.778,1.425
1.780,1.431
1.782,1.428
1.784,1.431
1.786,1.437
1.788,1.431
1.790,1.425
1.792,1.428
1.794,1.431
1.796,1.437
1.798,1.437
1.800,1.434
1.802,1.434
1.804,1.434
1.806,1.434
1.808,1.437
1.810,1.437
1.812,1.440
1.814,1.425
1.816,1.428
1.818,1.434
1.820,1.434
1.822,1.437
1.824,1.434
1.826,1.431
1.828,1.431
1.830,1.431
1.832,1.434
1.834,1.437
1.836,1.425
1.838,1.428
1.840,1.428
1.842,1.431
1.844,1.437
1.846,1.431
1.848,1.428
1.850,1.431
1.852,1.431
1.854,1.434
1.856,1.440
1.858,1.434
1.860,1.425
1.862,1.431
1.864,1.431
1.866,1.437
1.868,1.440
1.870,1.431
1.872,1.434
1.874,1.431
1.876,1.434
1.878,1.431
1.880,1.434
1.882,1.437
1.884,1.428
1.886,1.428
1.888,1.434
1.890,1.437
1.892,1.437
1.894,1.431
1.896,1.431
1.898,1.428
1.900,1.431
1.902,1.431
1.904,1.437
1.906,1.425
1.908,1.428
1.910,1.428
1.912,1.428
1.914,1.431
1.916,1.428
1.918,1.428
1.920,1.428
1.922,1.428
1.924,1.431
1.926,1.431
1.928,1.422
1.930,1.418
1.932,1.425
1.934,1.425
1.936,1.428
1.938,1.428
1.940,1.422
1.942,1.415
1.944,1.422
1.946,1.428
1.948,1.425
1.950,1.425
1.952,1.425
1.954,1.415
1.956,1.418
1.958,1.422
1.960,1.425
1.962,1.422
1.964,1.418
1.966,1.415
1.968,1.418
1.970,1.418
1.972,1.422
1.974,1.422
1.976,1.412
1.978,1.412
1.980,1.412
1.982,1.415
1.984,1.418
1.986,1.415
1.988,1.412
1.990,1.412
1.992,1.412
1.994,1.412
1.996,1.415
1.998,1.406
2.000,1.400
2.002,1.409
2.004,1.409
2.006,1.412
2.008,1.412
2.010,1.406
2.012,1.400
2.014,1.409
2.016,1.412
2.018,1.409
2.020,1.409
2.022,1.409
2.024,1.400
2.026,1.403
2.028,1.406
2.030,1.403
2.032,1.403
2.034,1.403
2.036,1.400
2.038,1.400
2.040,1.400
2.042,1.403
2.044,1.403
2.046,1.397
2.048,1.397
2.050,1.394
2.052,1.397
2.054,1.400
2.056,1.394
2.058,1.394
2.060,1.391
2.062,1.391
2.064,1.397
2.066,1.397
2.068,1.382
2.070,1.382
2.072,1.388
2.074,1.388
2.076,1.391
2.078,1.391
2.080,1.382
2.082,1.376
2.084,1.382
2.086,1.385
2.088,1.388
2.090,1.388
2.092,1.388
2.094,1.373
2.096,1.376
2.098,1.382
2.100,1.379
2.102,1.385
2.104,1.376
2.106,1.376
2.108,1.376
2.110,1.376
2.112,1.376
2.114,1.379
2.116,1.367
2.118,1.367
2.120,1.367
2.122,1.370
2.124,1.373
2.126,1.364
2.128,1.367
2.130,1.364
2.132,1.364
2.134,1.367
2.136,1.373
2.138,1.358
2.140,1.358
2.142,1.364
2.144,1.364
2.146,1.367
2.148,1.367
2.150,1.361
2.152,1.352
2.154,1.358
2.156,1.364
2.158,1.364
2.160,1.364
2.162,1.361
2.164,1.358
2.166,1.358
2.168,1.361
2.170,1.358
2.172,1.358
2.174,1.355
2.176,1.352
2.178,1.352
2.180,1.355
2.182,1.355
2.184,1.355
2.186,1.352
2.188,1.349
2.190,1.352
2.192,1.352
2.194,1.355
2.196,1.349
2.198,1.349
2.200,1.343
2.202,1.343
2.204,1.349
2.206,1.352
2.208,1.334
2.210,1.340
2.212,1.343
2.214,1.343
2.216,1.349
2.218,1.349
2.220,1.340
2.222,1.334
